[2025-08-01 17:34:25.407] [INFO] app.log file deleted successfully
[2025-08-01 17:34:25.407] [INFO] Trade counter reset successfully
[2025-08-01 17:34:25.407] [INFO] Initialized 6 symbols in database
[2025-08-01 17:34:27.632] [DEBUG] A key detected and service is enabled
[2025-08-01 17:34:27.632] [DEBUG] A key pressed - starting inclined pattern capture
[2025-08-01 17:34:27.633] [DEBUG] SimpleTradingOverlay.OnAKeyPressed() called
[2025-08-01 17:34:27.633] [INFO] A key pressed - starting inclined trading pattern creation
[2025-08-01 17:34:27.633] [INFO] Started inclined trading pattern creation for window 852876 (symbol: XAUUSD)
[2025-08-01 17:34:27.850] [INFO] First click recorded at (1609, 401)
[2025-08-01 17:34:28.434] [INFO] Second click recorded at (1687, 338)
[2025-08-01 17:34:28.435] [INFO] Current window handle: 852876
[2025-08-01 17:34:28.435] [INFO] Window rect: Left=0, Top=0, Right=1920, Bottom=1039
[2025-08-01 17:34:28.501] [DEBUG] RectangleBreakDetector: Column X=48: whitePixels=3, maxConsecutive=3, gaps=1
[2025-08-01 17:34:28.501] [DEBUG] RectangleBreakDetector: Column X=47: whitePixels=3, maxConsecutive=3, gaps=1
[2025-08-01 17:34:28.502] [DEBUG] RectangleBreakDetector: Column X=46: whitePixels=3, maxConsecutive=3, gaps=1
[2025-08-01 17:34:28.502] [DEBUG] RectangleBreakDetector: Column X=45: whitePixels=3, maxConsecutive=3, gaps=1
[2025-08-01 17:34:28.502] [DEBUG] RectangleBreakDetector: Column X=44: whitePixels=3, maxConsecutive=3, gaps=1
[2025-08-01 17:34:28.502] [DEBUG] RectangleBreakDetector: Column X=43: whitePixels=3, maxConsecutive=3, gaps=1
[2025-08-01 17:34:28.502] [DEBUG] RectangleBreakDetector: Column X=42: whitePixels=3, maxConsecutive=3, gaps=1
[2025-08-01 17:34:28.503] [DEBUG] RectangleBreakDetector: Column X=41: whitePixels=2, maxConsecutive=2, gaps=1
[2025-08-01 17:34:28.503] [DEBUG] RectangleBreakDetector: Column X=40: whitePixels=3, maxConsecutive=3, gaps=1
[2025-08-01 17:34:28.503] [DEBUG] RectangleBreakDetector: Column X=39: whitePixels=3, maxConsecutive=3, gaps=1
[2025-08-01 17:34:28.503] [DEBUG] RectangleBreakDetector: Column X=38: whitePixels=3, maxConsecutive=3, gaps=1
